date,rank,name_from_top100,title_from_page,url,tags,tag_count,success,error
2026-3-31,17,Resident Evil Requiem,Resident Evil Requiem,https://store.steampowered.com/app/3764200/Resident_Evil_Requiem?snr=1_7001_7002__7003,"生存恐怖, 喪屍, 恐怖, 第三人稱射擊, 動作, 第一人稱射擊, 第一人稱視角, 動作冒險, 電影感, 單人, 擬真, 黑暗, 3D, 劇情豐富, 末日之後, 女主人翁, 暴力, 庫存管理, 現代, 類銀河戰士惡魔城",20,True,
2026-3-31,18,永恆輪迴,永恆輪迴,https://store.steampowered.com/app/1049590/?snr=1_7001_7002__7003,"免費遊玩, 多人線上戰術競技, 日本動畫, 色情內容, 玩家對戰, 電競, 生存, 多人, 動作, 俯視視角, 戰鬥, 3D, 工藝, 策略, 戰術, 自訂角色, MMORPG, 獨立, 即時戰術, 點擊冒險",20,True,
2026-3-31,19,DEATH STRANDING 2: ON THE BEACH,DEATH STRANDING 2: ON THE BEACH,https://store.steampowered.com/app/3280350/DEATH_STRANDING_2_ON_THE_BEACH?snr=1_7001_7002__7003,"電影感, 劇情豐富, 開放世界, 探索, 科幻, 動作, 步行模擬, 氛圍, 第三人稱射擊, 動作冒險, 末日之後, 第三人稱視角, 冒險, 感性, 單人, 擬真, 潛行, 異步多人, 反烏托邦, 恐怖",20,True,
2026-3-31,20,Monster Hunter Wilds,Monster Hunter Wilds,https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds?snr=1_7001_7002__7003,"狩獵, 動作, 多人, 線上合作, 合作, 自訂角色, 龍, 開放世界, 戀愛模擬, 第三人稱視角, 動作角色扮演, 冒險, 奇幻, 角色扮演, 可愛, 單人, 氛圍, 好評原聲帶, 水底, 心理恐怖",20,True,
2026-3-31,21,PRAGMATA,PRAGMATA,https://store.steampowered.com/app/3357650/PRAGMATA?snr=1_7001_7002__7003,"可愛, 動作, 科幻, 搞笑, 冒險, 第三人稱射擊, 未來, 動作冒險, 機器人, 第三人稱視角, 駭客, 單人, 3D, 劇情豐富, 擬真, 人工智慧, 玩家合作, 太空, 女主人翁, 心理恐怖",20,True,
2026-3-31,22,流亡黯道,流亡黯道,https://store.steampowered.com/app/2855560/?snr=1_7001_7002__7003,"動作, 冒險, 角色扮演, 動作角色扮演, MMORPG, 迷宮探索, 砍殺, 打寶, 等角視角, 黑暗奇幻, 恐怖, 自訂角色, 庫存管理, 玩家對戰, 大型多人, 合作, 多人, 免費遊玩, 線上合作, 單人",20,True,
2026-3-31,23,Once Human,Once Human,https://store.steampowered.com/app/2139460/Once_Human?snr=1_7001_7002__7003,"免費遊玩, 生存, 多人, 開放世界生存工藝, 合作, 開放世界, 基地建設, 冒險, 末日之後, 大型多人, 恐怖, 第三人稱視角, 線上合作, 玩家對戰, 射擊, 單人, 角色扮演, 動作冒險, 模擬, MMORPG",20,True,
2026-3-31,24,七大罪：Origin,七大罪：Origin,https://store.steampowered.com/app/3679080/Origin?snr=1_7001_7002__7003,"開放世界, 免費遊玩, 日本動畫, 多人, 動作, 冒險, 角色扮演, 線上合作, 戰鬥, 劇情豐富, 單人, 3D, 動作角色扮演, 玩家合作, 砍殺, 動作冒險, 動畫和模型製作, 感性, 第三人稱視角, 奇幻",20,True,
2026-3-31,25,Warframe,Warframe,https://store.steampowered.com/app/230410/Warframe?snr=1_7001_7002__7003,"免費遊玩, 刷寶射擊, 動作角色扮演, 第三人稱射擊, 動作, 角色扮演, 第三人稱視角, 大型多人, 線上合作, 自訂角色, 合作, 玩家合作, 科幻, 單人, 太空, 故事架構豐富, 射擊, 砍殺, 跑酷, 忍者",20,True,
2026-3-31,26,《鬥陣特攻®》,《鬥陣特攻®》,https://store.steampowered.com/app/2357570/?snr=1_7001_7002__7003,"免費遊玩, 英雄射擊, 第一人稱射擊, 多人, 團隊導向, 第一人稱視角, 多人線上戰術競技, 第三人稱射擊, 第三人稱視角, 玩家對戰, 競技, 射擊, 動作, 合作, 科幻, 線上合作, 玩家合作, 電影感, 休閒, 故事架構豐富",20,True,
2026-3-31,27,Wuthering Waves,Wuthering Waves,https://store.steampowered.com/app/3513350/Wuthering_Waves?snr=1_7001_7002__7003,"開放世界, 日本動畫, 免費遊玩, 動作, 冒險, 角色扮演, 劇情豐富, 戰鬥, 探索, 3D, 類魂, 第三人稱視角, 單人, 末日之後, 合作, 多人, 好評原聲帶, 砍殺, 賭博, 動作類 Rogue",20,True,
2026-3-31,28,Monster Hunter: World,Monster Hunter: World,https://store.steampowered.com/app/582010/Monster_Hunter_World?snr=1_7001_7002__7003,"合作, 多人, 動作, 開放世界, 角色扮演, 自訂角色, 第三人稱視角, 冒險, 奇幻, 動作角色扮演, 困難, 單人, 探索, 好評原聲帶, 值得重玩, 氛圍, 砍殺, 日系角色扮演, MMORPG, 類魂",20,True,
2026-3-31,29,Yu-Gi-Oh! Master Duel,Yu-Gi-Oh! Master Duel,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel?snr=1_7001_7002__7003,"卡牌遊戲, 免費遊玩, 策略, 交換卡牌, 多人, 玩家對戰, 日本動畫, 卡牌對戰, 回合制戰術, 模擬, 戰術, 單人, 電競, 龍, 奇幻, 3D, 好評原聲帶, 玩家合作, 2D, 牌組製作",20,True,
2026-3-31,30,雀魂麻將,雀魂麻將,https://store.steampowered.com/app/1329410/?snr=1_7001_7002__7003,"麻將, 免費遊玩, 日本動畫, 桌上遊戲, 困難, 成人, 策略, 多人, 玩家對戰, 休閒, 可愛, 單人, 心理, 賭博, 第三人稱射擊, 射擊, 卡牌遊戲, 動作, 角色扮演, 大型多人",20,True,
2026-3-31,31,Red Dead Redemption 2,Red Dead Redemption 2,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2?snr=1_7001_7002__7003,"開放世界, 劇情豐富, 西部, 多人, 冒險, 動作, 擬真, 單人, 射擊, 馬匹, 唯美, 氛圍, 成人, 第三人稱射擊, 好評原聲帶, 第三人稱視角, 血腥, 沙盒, 第一人稱視角, 第一人稱射擊",20,True,
2026-3-31,32,Resident Evil 7 Biohazard,Resident Evil 7 Biohazard,https://store.steampowered.com/app/418370/Resident_Evil_7_Biohazard?snr=1_7001_7002__7003,"恐怖, 生存恐怖, 第一人稱視角, 單人, 虛擬實境, 血腥, 氛圍, 喪屍, 心理恐怖, 動作, 暴力, 生存, 解謎, 多人, 劇情豐富, 冒險, 第一人稱射擊, 探索, 射擊, 經典",20,True,
2026-3-31,33,HELLDIVERS™ 2,HELLDIVERS™ 2,https://store.steampowered.com/app/553850/HELLDIVERS_2?snr=1_7001_7002__7003,"線上合作, 玩家合作, 第三人稱射擊, 多人, 射擊, 動作, 合作, 科幻, 撤離射擊, 資本主義, 太空, 第三人稱視角, 歡樂, 血腥, 好評原聲帶, 暴力, 困難, 心理恐怖, 單人, 開放世界",20,True,
2026-3-31,34,1根香腸走江湖,1根香腸走江湖,https://store.steampowered.com/app/4172690/1?snr=1_7001_7002__7003,"毀滅, 復古, 打寶, 沙盒, 砍殺, 搞笑, 放置, MMORPG, 角色扮演, 動作, 動作角色扮演, 探索, 冒險, 假 3D, 漫畫, 奇幻, 休閒, 放鬆, 歡樂, 大型多人",20,True,
2026-3-31,35,超級高爾夫大亂鬥,超級高爾夫大亂鬥,https://store.steampowered.com/app/4069520/?snr=1_7001_7002__7003,"多人, 線上合作, 合作, 運動, 物理, 歡樂, 探索, 3D, 搞笑, 高爾夫球, 動作, 冒險, 色彩鮮艷, 可愛, 玩家對戰, 自訂角色, 第三人稱視角, 派對遊戲, 迷你高爾夫, 競速",20,True,
2026-3-31,36,Monster Hunter Stories 3: 命運雙龍,Monster Hunter Stories 3: 命運雙龍,https://store.steampowered.com/app/2852190/Monster_Hunter_Stories_3?snr=1_7001_7002__7003,"角色扮演, 生物收集, 日系角色扮演, 回合制戰鬥, 探索, 卡通風格, 冒險, 龍, 自訂角色, 單人, 日本動畫, 回合制, 劇情豐富, 開放世界, 多人, 奇幻, 第三人稱視角, 可愛, 合作",19,True,
2026-3-31,37,DEAD OR ALIVE Xtreme Venus Vacation,DEAD OR ALIVE Xtreme Venus Vacation,https://store.steampowered.com/app/958260/DEAD_OR_ALIVE_Xtreme_Venus_Vacation?snr=1_7001_7002__7003,"色情內容, 成人, Hentai, 免費遊玩, 工作場所不宜, 女主人翁, 第一人稱視角, 3D, 日本動畫, 動作, 戀愛模擬, 可愛, 運動, 單人, 開放世界, 休閒, 角色扮演, 多人, 自訂角色, 模擬",20,True,
2026-3-31,38,Gray Zone Warfare,Gray Zone Warfare,https://store.steampowered.com/app/2479810/Gray_Zone_Warfare?snr=1_7001_7002__7003,"第一人稱射擊, 戰術, 擬真, 撤離射擊, 模擬, 開放世界, 軍事, 射擊, 動作, 玩家合作, 競技, 槍械改造, 多人, 玩家對戰, 現代, 線上合作, 戰爭, 生存, 大型多人, 搶先體驗",20,True,
2026-3-31,39,Limbus Company,Limbus Company,https://store.steampowered.com/app/1973530/Limbus_Company?snr=1_7001_7002__7003,"劇情豐富, 故事架構豐富, 免費遊玩, 回合制戰鬥, 回合制戰術, 視覺小說, 單人, 角色扮演, 策略, 好評原聲帶, 策略角色扮演, 回合制策略, 日本動畫, 玩家合作, 黑暗奇幻, 2D, 動作, 科幻, 輕度 Rogue, 色彩鮮艷",20,True,
2026-3-31,40,永恆圍城：無盡紀元,永恆圍城：無盡紀元,https://store.steampowered.com/app/3363680/?snr=1_7001_7002__7003,"動作即時策略, 輕度 Rogue, 多人線上戰術競技, 合作, 玩家合作, 塔防, 生存, 策略, 線上合作, 即時策略, 管理, 俯視視角, 戰術, 老式, 奇幻, 選擇導向, 動作, 程序生成, 3D, 末日之後",20,True,
2026-3-31,41,ARC Raiders,ARC Raiders,https://store.steampowered.com/app/1808500/ARC_Raiders?snr=1_7001_7002__7003,"撤離射擊, 多人, 玩家對戰, 玩家合作, 第三人稱射擊, 末日之後, 射擊, 線上合作, 生存, 科幻, 氛圍, 第三人稱視角, 工藝, 庫存管理, 動作, 開放世界, 戰鬥, 未來, 自訂角色, 擬真",20,True,
2026-3-31,42,End of Zoe,End of Zoe,https://store.steampowered.com/app/530611/End_of_Zoe?snr=1_7001_7002__7003,"動作, 冒險, 恐怖",3,True,
2026-3-31,43,房產達人2,房產達人2,https://store.steampowered.com/app/1190970/2?snr=1_7001_7002__7003,"模擬, 建造, 合作, 放鬆, 設計及繪圖, 線上合作, 休閒, 闔家, 沙盒, 值得重玩, 毀滅, 色彩鮮艷, 單人, 3D, 基地建設, 沉浸模擬, 第一人稱視角, 教育學習, 獨立, 擬真",20,True,
2026-3-31,44,Tom Clancy’s The Division® 2,Tom Clancy’s The Division® 2,https://store.steampowered.com/app/2221490/Tom_Clancys_The_Division_2?snr=1_7001_7002__7003,"刷寶射擊, 開放世界, 多人, 單人, 第三人稱射擊, 線上合作, 射擊, 動作, 冒險, 角色扮演, 合作, 末日之後, 打寶, 自訂角色, 玩家合作, 大型多人, 生存, 軍事, 玩家對戰, 劇情豐富",20,True,
2026-3-31,45,克魯賽德戰記 : 英雄小鎮,克魯賽德戰記 : 英雄小鎮,https://store.steampowered.com/app/4126220/?snr=1_7001_7002__7003,"放置, 桌上遊戲, 休閒, 像素風格, 建造, 模擬, 點擊遊戲, 2D, 策略, 城市營造, 管理, 自動化, 玩家合作, 基地建設, 生活模擬, 可愛, 闔家, 奇幻, 角色扮演, 獨立",20,True,
2026-3-31,46,數碼寶貝物語 時空異客,數碼寶貝物語 時空異客,https://store.steampowered.com/app/1984270/?snr=1_7001_7002__7003,"角色扮演, 日系角色扮演, 生物收集, 團隊角色扮演, 日本動畫, 3D, 收集型平台, 可愛, 時光旅行, 奇幻, 回合制戰鬥, 感性, 像素風格, 架空歷史, 現代, 神話, 自訂角色, 單人, 劇情豐富, 團隊導向",20,True,
2026-3-31,47,天天玩樂園,天天玩樂園,https://store.steampowered.com/app/3198850/?snr=1_7001_7002__7003,"免費遊玩, 放鬆, 自訂角色, 多人, 釣魚, 休閒, 可愛, 卡通風格, 奇幻, 派對, 小遊戲, 對話, 愛情, 色彩鮮艷, 烹飪, 搞笑, 感性, 生活模擬, 3D, 闔家",20,True,
2026-3-31,48,背包闖江湖,背包闖江湖,https://store.steampowered.com/app/3972650/?snr=1_7001_7002__7003,"庫存管理, 武術, 輕度 Rogue, 自動對戰, 玩家對戰, 大逃殺, 策略, 2D 格鬥, 2D, 劍術, 牌組製作, 回合制戰術, 打寶, 單人, 異步多人, 復古",16,True,
